"Country","Region","Metric","Value"
"Tajikistan","Central Asia","DeathsPer100k",14
"Tajikistan","Central Asia","DeathsPer1000",20.3
"Tajikistan","Central Asia","Years",71.9
"Tanzania","Africa","DeathsPer100k",276
"Tanzania","Africa","DeathsPer1000",28.4
"Tanzania","Africa","Years",70.8
"Thailand","East and Southeast Asia","DeathsPer100k",34
"Thailand","East and Southeast Asia","DeathsPer1000",6.2
"Thailand","East and Southeast Asia","Years",78.2
"Timor-Leste","East and Southeast Asia","DeathsPer100k",192
"Timor-Leste","East and Southeast Asia","DeathsPer1000",41.9
"Timor-Leste","East and Southeast Asia","Years",70.5
"Togo","Africa","DeathsPer100k",349
"Togo","Africa","DeathsPer1000",34.5
"Togo","Africa","Years",72.1
"Tonga","Australia and Oceania","DeathsPer100k",67
"Tonga","Australia and Oceania","DeathsPer1000",11.5
"Tonga","Australia and Oceania","Years",78
"Trinidad and Tobago","Central America and the Caribbean","DeathsPer100k",54
"Trinidad and Tobago","Central America and the Caribbean","DeathsPer1000",14.7
"Trinidad and Tobago","Central America and the Caribbean","Years",76.5
"Tunisia","Africa","DeathsPer100k",36
"Tunisia","Africa","DeathsPer1000",10.6
"Tunisia","Africa","Years",77.3
"Turkey (Turkiye)","Middle East","DeathsPer100k",15
"Turkey (Turkiye)","Middle East","DeathsPer1000",17.9
"Turkey (Turkiye)","Middle East","Years",76.7
"Turkmenistan","Central Asia","DeathsPer100k",5
"Turkmenistan","Central Asia","DeathsPer1000",35
"Turkmenistan","Central Asia","Years",72.4
"Turks and Caicos Islands","Central America and the Caribbean","DeathsPer100k",NA
"Turks and Caicos Islands","Central America and the Caribbean","DeathsPer1000",10.8
"Turks and Caicos Islands","Central America and the Caribbean","Years",81.3
"Tuvalu","Australia and Oceania","DeathsPer100k",170
"Tuvalu","Australia and Oceania","DeathsPer1000",27.2
"Tuvalu","Australia and Oceania","Years",69
"Uganda","Africa","DeathsPer100k",170
"Uganda","Africa","DeathsPer1000",27.5
"Uganda","Africa","Years",69.7
"Ukraine","Europe","DeathsPer100k",15
"Ukraine","Europe","DeathsPer1000",8.4
"Ukraine","Europe","Years",70.5
"United Arab Emirates","Middle East","DeathsPer100k",3
"United Arab Emirates","Middle East","DeathsPer1000",4.9
"United Arab Emirates","Middle East","Years",79.9
"United Kingdom","Europe","DeathsPer100k",8
"United Kingdom","Europe","DeathsPer1000",3.7
"United Kingdom","Europe","Years",82.2
"United States","North America","DeathsPer100k",17
"United States","North America","DeathsPer1000",5
"United States","North America","Years",80.9
"Uruguay","South America","DeathsPer100k",15
"Uruguay","South America","DeathsPer1000",6.9
"Uruguay","South America","Years",78.9
"Uzbekistan","Central Asia","DeathsPer100k",26
"Uzbekistan","Central Asia","DeathsPer1000",17.6
"Uzbekistan","Central Asia","Years",76.2
"Vanuatu","Australia and Oceania","DeathsPer100k",100
"Vanuatu","Australia and Oceania","DeathsPer1000",13.4
"Vanuatu","Australia and Oceania","Years",75.7
"Venezuela","South America","DeathsPer100k",227
"Venezuela","South America","DeathsPer1000",13.6
"Venezuela","South America","Years",74.5
"Vietnam","East and Southeast Asia","DeathsPer100k",48
"Vietnam","East and Southeast Asia","DeathsPer1000",13.8
"Vietnam","East and Southeast Asia","Years",76.1
"Virgin Islands","Central America and the Caribbean","DeathsPer100k",NA
"Virgin Islands","Central America and the Caribbean","DeathsPer1000",7.2
"Virgin Islands","Central America and the Caribbean","Years",80.7
"Wallis and Futuna","Australia and Oceania","DeathsPer100k",NA
"Wallis and Futuna","Australia and Oceania","DeathsPer1000",3.8
"Wallis and Futuna","Australia and Oceania","Years",81.1
"West Bank","Middle East","DeathsPer100k",16
"West Bank","Middle East","DeathsPer1000",14.2
"West Bank","Middle East","Years",76.5
"Yemen","Middle East","DeathsPer100k",118
"Yemen","Middle East","DeathsPer1000",42.4
"Yemen","Middle East","Years",68.2
"Zambia","Africa","DeathsPer100k",85
"Zambia","Africa","DeathsPer1000",30.1
"Zambia","Africa","Years",66.9
"Zimbabwe","Africa","DeathsPer100k",358
"Zimbabwe","Africa","DeathsPer1000",32.8
"Zimbabwe","Africa","Years",67.2
