"Country","Region","Metric","Value"
"Bermuda","North America","DeathsPer1000",2.1
"Bermuda","North America","Years",82.5
"Bhutan","South Asia","DeathsPer100k",47
"Bhutan","South Asia","DeathsPer1000",23
"Bhutan","South Asia","Years",73.7
"Bolivia","South America","DeathsPer100k",146
"Bolivia","South America","DeathsPer1000",22.1
"Bolivia","South America","Years",72.5
"Bosnia and Herzegovina","Europe","DeathsPer100k",6
"Bosnia and Herzegovina","Europe","DeathsPer1000",3.8
"Bosnia and Herzegovina","Europe","Years",78.5
"Botswana","Africa","DeathsPer100k",155
"Botswana","Africa","DeathsPer1000",27.8
"Botswana","Africa","Years",66.4
"Brazil","South America","DeathsPer100k",67
"Brazil","South America","DeathsPer1000",12.7
"Brazil","South America","Years",76.3
"British Virgin Islands","Central America and the Caribbean","DeathsPer100k",NA
"British Virgin Islands","Central America and the Caribbean","DeathsPer1000",13
"British Virgin Islands","Central America and the Caribbean","Years",80.1
"Brunei","East and Southeast Asia","DeathsPer100k",36
"Brunei","East and Southeast Asia","DeathsPer1000",9.8
"Brunei","East and Southeast Asia","Years",78.9
"Bulgaria","Europe","DeathsPer100k",6
"Bulgaria","Europe","DeathsPer1000",7.5
"Bulgaria","Europe","Years",76.1
"Burkina Faso","Africa","DeathsPer100k",242
"Burkina Faso","Africa","DeathsPer1000",48
"Burkina Faso","Africa","Years",64.2
"Burma","East and Southeast Asia","DeathsPer100k",185
"Burma","East and Southeast Asia","DeathsPer1000",30.8
"Burma","East and Southeast Asia","Years",70.3
"Burundi","Africa","DeathsPer100k",392
"Burundi","Africa","DeathsPer1000",35.3
"Burundi","Africa","Years",68.1
"Cabo Verde","Africa","DeathsPer100k",40
"Cabo Verde","Africa","DeathsPer1000",21.9
"Cabo Verde","Africa","Years",74.3
"Cambodia","East and Southeast Asia","DeathsPer100k",137
"Cambodia","East and Southeast Asia","DeathsPer1000",27.2
"Cambodia","East and Southeast Asia","Years",71.4
"Cameroon","Africa","DeathsPer100k",258
"Cameroon","Africa","DeathsPer1000",44.6
"Cameroon","Africa","Years",64.2
"Canada","North America","DeathsPer100k",12
"Canada","North America","DeathsPer1000",3.8
"Canada","North America","Years",84.2
"Cayman Islands","Central America and the Caribbean","DeathsPer100k",NA
"Cayman Islands","Central America and the Caribbean","DeathsPer1000",7.1
"Cayman Islands","Central America and the Caribbean","Years",82.5
"Central African Republic","Africa","DeathsPer100k",692
"Central African Republic","Africa","DeathsPer1000",79.3
"Central African Republic","Africa","Years",56.4
"Chad","Africa","DeathsPer100k",748
"Chad","Africa","DeathsPer1000",61.1
"Chad","Africa","Years",60
"Chile","South America","DeathsPer100k",10
"Chile","South America","DeathsPer1000",4.5
"Chile","South America","Years",80.3
"China","East and Southeast Asia","DeathsPer100k",16
"China","East and Southeast Asia","DeathsPer1000",6
"China","East and Southeast Asia","Years",78.7
"Colombia","South America","DeathsPer100k",59
"Colombia","South America","DeathsPer1000",11.6
"Colombia","South America","Years",74.9
"Comoros","Africa","DeathsPer100k",179
"Comoros","Africa","DeathsPer1000",53.9
"Comoros","Africa","Years",67.8
"Congo, Democratic Republic of the","Africa","DeathsPer100k",427
"Congo, Democratic Republic of the","Africa","DeathsPer1000",55.8
"Congo, Democratic Republic of the","Africa","Years",62.6
"Congo, Republic of the","Africa","DeathsPer100k",241
"Congo, Republic of the","Africa","DeathsPer1000",29.9
"Congo, Republic of the","Africa","Years",72.9
